0^1
Delicatessen^0.806;0.943;0.957;0.957;0.980;0.717;0.977;0.931;0.823;0.929;0.894;0.909;0.897;0.946;0.940;0.906;0.954;0.851;0.717;0.966;0.966;0.951;0.986;1.000;0.989;0.989;0.977;0.966;0.989;0.986;0.983;0.983;0.971;0.989;0.980;0.989;0.969;0.989;0.989;0.971;0.974;0.989;0.974;0.989;0.986;0.966;0.980;0.960;0.989;0.983;0.989;0.980;0.989;0.957
Doe-het-Zelf^0.817;0.949;0.963;0.969;0.986;0.723;0.983;0.943;0.829;0.934;0.900;0.914;0.903;0.951;0.946;0.900;0.960;0.857;0.717;0.971;0.971;0.957;0.991;0.989;1.000;0.994;0.983;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;0.994;0.994;0.977;0.980;0.994;0.980;0.994;0.991;0.971;0.986;0.966;0.994;0.989;0.994;0.986;0.994;0.963
Fiets^0.811;0.949;0.963;0.963;0.986;0.723;0.983;0.937;0.829;0.934;0.900;0.914;0.903;0.951;0.946;0.900;0.960;0.857;0.723;0.971;0.971;0.957;0.991;0.989;0.994;1.000;0.983;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;0.994;0.994;0.977;0.980;0.994;0.980;0.994;0.991;0.971;0.986;0.966;0.994;0.989;0.994;0.986;0.994;0.963
Hobby^0.800;0.937;0.951;0.957;0.974;0.711;0.971;0.937;0.823;0.934;0.889;0.903;0.891;0.940;0.934;0.889;0.949;0.846;0.717;0.966;0.971;0.946;0.980;0.977;0.983;0.983;1.000;0.960;0.983;0.980;0.977;0.977;0.966;0.983;0.974;0.983;0.963;0.989;0.983;0.966;0.974;0.983;0.980;0.983;0.980;0.960;0.980;0.954;0.983;0.983;0.983;0.974;0.983;0.957
Juwelier & Horloge^0.806;0.931;0.940;0.940;0.963;0.700;0.960;0.914;0.806;0.911;0.877;0.937;0.886;0.929;0.923;0.877;0.937;0.834;0.700;0.949;0.949;0.934;0.969;0.966;0.971;0.971;0.960;1.000;0.971;0.969;0.966;0.966;0.954;0.971;0.963;0.971;0.951;0.971;0.971;0.954;0.957;0.971;0.957;0.971;0.969;0.949;0.963;0.943;0.971;0.966;0.971;0.963;0.971;0.940
Kantoorartikelen^0.817;0.949;0.963;0.963;0.986;0.723;0.983;0.937;0.829;0.934;0.900;0.914;0.903;0.951;0.951;0.900;0.960;0.857;0.717;0.971;0.977;0.963;0.991;0.989;0.994;0.994;0.983;0.971;1.000;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;0.994;0.994;0.977;0.980;0.994;0.986;0.994;0.991;0.977;0.986;0.966;0.994;0.989;0.994;0.986;0.994;0.963
Meubelen^0.814;0.946;0.960;0.960;0.983;0.720;0.980;0.934;0.826;0.931;0.903;0.911;0.900;0.949;0.949;0.903;0.957;0.854;0.714;0.969;0.974;0.954;0.989;0.986;0.991;0.991;0.980;0.969;0.991;1.000;0.986;0.986;0.974;0.991;0.983;0.991;0.971;0.991;0.991;0.974;0.983;0.991;0.983;0.991;0.989;0.969;0.983;0.963;0.991;0.986;0.991;0.983;0.991;0.971
Mode accessoires^0.811;0.943;0.957;0.957;0.980;0.729;0.977;0.931;0.840;0.929;0.894;0.909;0.897;0.946;0.940;0.894;0.954;0.857;0.711;0.966;0.966;0.957;0.986;0.983;0.989;0.989;0.977;0.966;0.989;0.986;1.000;0.983;0.971;0.989;0.980;0.989;0.969;0.989;0.989;0.971;0.974;0.989;0.974;0.989;0.986;0.966;0.980;0.960;0.989;0.983;0.989;0.980;0.989;0.957
Natuurwinkel^0.806;0.943;0.957;0.957;0.980;0.717;0.977;0.931;0.823;0.929;0.900;0.909;0.897;0.946;0.951;0.900;0.966;0.851;0.711;0.966;0.966;0.951;0.986;0.983;0.989;0.989;0.977;0.966;0.989;0.986;0.983;1.000;0.977;0.989;0.980;0.989;0.969;0.989;0.989;0.971;0.974;0.989;0.980;0.989;0.986;0.966;0.980;0.960;0.989;0.983;0.989;0.980;0.989;0.957
Parfumerie & Drogisterij^0.794;0.931;0.946;0.946;0.969;0.706;0.966;0.920;0.811;0.917;0.883;0.897;0.891;0.934;0.946;0.894;0.983;0.840;0.700;0.954;0.954;0.940;0.974;0.971;0.977;0.977;0.966;0.954;0.977;0.974;0.971;0.977;1.000;0.977;0.969;0.977;0.957;0.977;0.977;0.960;0.963;0.977;0.963;0.977;0.974;0.954;0.969;0.949;0.977;0.971;0.977;0.969;0.977;0.946
Recreatie^0.811;0.949;0.963;0.963;0.986;0.729;0.983;0.937;0.834;0.940;0.900;0.914;0.903;0.951;0.946;0.900;0.960;0.857;0.717;0.971;0.971;0.957;0.991;0.989;0.994;0.994;0.983;0.971;0.994;0.991;0.989;0.989;0.977;1.000;0.986;0.994;0.980;0.994;0.994;0.977;0.980;0.994;0.980;0.994;0.991;0.971;0.986;0.966;0.994;0.989;0.994;0.986;0.994;0.963
